company_name,financial_score,financial_rank,growth_score,profitability_score,roa_score,leverage_score,eps_score
NVIDIA Corp.,99.71072319201996,1,100.0,100.0,98.55361596009975,100.0,100.0
Alphabet Inc.,50.283079621592044,2,11.514922870556672,68.69588266478178,77.11970074812966,90.28309819676727,9.19859751072122
Microsoft Corp.,46.317613979366726,3,12.202380952380953,87.07368793072979,58.640897755610965,63.379426329066625,4.368111528629499
Apple Inc.,37.924646149227826,4,2.9175050301810863,60.51422512811452,100.0,12.342333925067734,1.806193862014053
Procter & Gamble Co.,25.094397756200706,5,0.5407444668008047,40.71390705071568,40.561097256857856,44.637017658600385,0.0
Exxon Mobil Corp.,23.349529210374612,6,0.0,24.765859692525183,33.927680798004985,67.28020181257591,1.402489278779667
Johnson & Johnson,21.863538861682567,7,3.51693494299128,36.21664605053896,24.87531172069826,44.557600672708574,2.236439577018174
JPMorgan Chase & Co.,21.206340983360985,8,6.602112676056339,77.65506273193142,0.0,0.0,2.3607638258342996
Amazon.com Inc.,16.26728879209874,9,9.171696847753187,15.62113447605584,27.269326683291773,12.786134728580777,15.77940128794334
Walmart Inc.,10.330102907722647,10,1.5300134138162305,0.0,19.389027431421447,38.082780528823676,2.169388296757791
